year,type,name,postal_code,num_cardholders,revenue_self_generated,revenue_total_operating,revenue_total_capital,expend_materials,expend_staff,expend_total_operating,num_print_volumes,num_e_book_audio_titles,hoopla,num_e_learning_services,num_took_e_learning_courses,num_workstations_internet,total_direct_circulation,program_attendance,num_tech_programs,ill_num_borrowed,ill_num_lent,num_use_wifi,num_visits_irl,num_visits_websites,population,households
2019,Public or Union Library,Addington Highlands Twp,K0H1P0,910,4007,92020,0,10541,67012,92753,12553,0,0,0,0,12,8302,193,0,271,0,30,117,176,1712,2762
2019,Contracting Municipality,Adjala-TosorontioTwp,L9R1V1,0,0,23324,0,0,0,23324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10975,4103
2019,Public or Union Library,Admaston/Bromley Twp,K0J1S0,417,7054,41516,0,9157,15380,41837,9468,80219,0,0,0,4,9539,335,0,51,0,7,101,0,2935,1408
2019,Public or Union Library,Ajax,L1S2H8,37004,119400,5671368,1427790,674116,3864151,5436851,173329,25455,1,0,0,59,671236,42963,256,1076,549,9064,9517,5851,127400,38400
2019,Contracting Municipality,Alberton Twp,P9A3M2,0,0,4000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,373
2019,First Nations Library,Alderville FN,K0K2X0,190,0,30478,0,0,25649,30478,5777,80075,0,0,0,3,483,302,0,37,0,0,32,0,313,0
2019,Public or Union Library,Alfred & Plantagenet Twp,K0B1J0,2048,5347,355213,0,45426,220556,341851,57894,86265,0,0,0,16,28435,2114,0,272,0,7,374,645,9680,4218
2019,First Nations Library,Algonquins of Pikwakanagan FN,K0J1X0,67,0,25731,0,1843,22509,25731,3256,0,0,0,0,6,742,185,0,0,0,4,25,0,453,0
2019,Public or Union Library,Alnwick/Haldimand Twp,K0K2G0,642,1331,254688,0,37454,151534,268345,18081,84934,0,1,0,10,27838,726,6,395,270,438,224,0,5691,3434
2019,Contracting Municipality,Amaranth Twp,L9W0M6,0,0,99321,0,0,0,94216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3375,1441
2019,Contracting Municipality,Archipelago Twp,P2A1T4,0,0,30726,0,0,0,30726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,3338
2019,Public or Union Library,Armstrong Twp,P0J1E0,258,1444,60333,0,3154,47977,63391,9447,0,0,0,0,6,8112,94,0,89,74,6,54,0,1166,507
2019,Public or Union Library,Arnprior,K7S1R6,5104,63809,546250,0,58656,403929,608001,50767,80075,0,1,0,9,138648,11579,143,594,949,402,1904,804,8795,4244
2019,Public or Union Library,Asphodel-Norwood,K0L2V0,606,5753,160420,0,11917,100809,150390,14370,80075,0,0,0,8,8158,1039,0,110,209,6,186,83,3440,1857
2019,Public or Union Library,Assiginack Twp,P0P1N0,759,0,47417,0,3397,37682,46783,12537,80075,0,0,0,3,10412,837,0,164,0,36,106,0,1013,420
2019,Public or Union Library,Athens Twp,K0E1B0,412,5870,51667,0,7712,27240,51876,8532,80075,0,0,0,5,5830,630,0,227,64,4,86,2678,3013,1336
2019,First Nations Library,Atikameksheng Anishnawbek Band No. 6 FN,P0M2M0,500,0,14002,0,500,26501,36301,1500,0,0,0,0,4,100,0,0,0,0,0,1,0,390,0
2019,Public or Union Library,Atikokan,P0T1C0,1283,7703,285602,0,23992,182527,274602,33311,80075,0,0,0,7,17795,2916,6,191,402,250,202,195,2200,1373
